"month","index.decile","index.age","other.decile","other.age","contact.type","n.contact"
"2020-05","3-10","60+","1-2","60+","Home",0
"2020-05","1-2","16-59","3-10","60+","Home",0
"2020-05","3-10","16-59","3-10","60+","Home",3676926.71318757
"2020-05","1-2","60+","3-10","60+","Home",0
"2020-05","3-10","60+","3-10","60+","Home",1532422.13245002
"2020-05","1-2","16-59","1-2","16-59","Other",4421991.07623588
"2020-05","3-10","16-59","1-2","16-59","Other",3955083.15094483
"2020-05","1-2","60+","1-2","16-59","Other",688717.055558871
"2020-05","3-10","60+","1-2","16-59","Other",781024.52838596
"2020-05","1-2","16-59","3-10","16-59","Other",3980164.38260276
"2020-05","3-10","16-59","3-10","16-59","Other",27945455.6564554
"2020-05","1-2","60+","3-10","16-59","Other",615996.996657875
"2020-05","3-10","60+","3-10","16-59","Other",5483714.79831721
"2020-05","1-2","16-59","1-2","60+","Other",688717.055558871
"2020-05","3-10","16-59","1-2","60+","Other",615996.996657875
"2020-05","1-2","60+","1-2","60+","Other",250473.184226553
"2020-05","3-10","60+","1-2","60+","Other",284043.641731988
"2020-05","1-2","16-59","3-10","60+","Other",781024.52838596
"2020-05","3-10","16-59","3-10","60+","Other",5483714.79831721
"2020-05","1-2","60+","3-10","60+","Other",258962.410074058
"2020-05","3-10","60+","3-10","60+","Other",2305329.42211683
"2020-06","1-2","16-59","1-2","16-59","Home",3030491.54219731
"2020-06","3-10","16-59","1-2","16-59","Home",0
"2020-06","1-2","60+","1-2","16-59","Home",807094.877052283
"2020-06","3-10","60+","1-2","16-59","Home",0
"2020-06","1-2","16-59","3-10","16-59","Home",0
"2020-06","3-10","16-59","3-10","16-59","Home",10923323.2868124
"2020-06","1-2","60+","3-10","16-59","Home",0
"2020-06","3-10","60+","3-10","16-59","Home",3676926.71318757
"2020-06","1-2","16-59","1-2","60+","Home",807094.877052283
"2020-06","3-10","16-59","1-2","60+","Home",0
"2020-06","1-2","60+","1-2","60+","Home",272834.210196039
"2020-06","3-10","60+","1-2","60+","Home",0
"2020-06","1-2","16-59","3-10","60+","Home",0
"2020-06","3-10","16-59","3-10","60+","Home",3676926.71318757
"2020-06","1-2","60+","3-10","60+","Home",0
"2020-06","3-10","60+","3-10","60+","Home",1532422.13245002
"2020-06","1-2","16-59","1-2","16-59","Other",4250966.29055293
"2020-06","3-10","16-59","1-2","16-59","Other",4263745.3658832
