"decile","decile.visited","month","visit.prop"
"5","9","2020-02",0.0491711711435377
"5","10","2020-02",0.0264146171997982
"6","1","2020-02",0.0566833960899462
"6","2","2020-02",0.0581917981735415
"6","3","2020-02",0.0692170449774492
"6","4","2020-02",0.0908719711590027
"6","5","2020-02",0.105915734770765
"6","6","2020-02",0.0854868798636824
"6","7","2020-02",0.0954924921773331
"6","8","2020-02",0.0615100482957863
"6","9","2020-02",0.0524637227426692
"6","10","2020-02",0.0263867596275758
"7","1","2020-02",0.0470943294630037
"7","2","2020-02",0.0480565584636483
"7","3","2020-02",0.0549801463045315
"7","4","2020-02",0.0846054768257903
"7","5","2020-02",0.0908756781585074
"7","6","2020-02",0.0960157205010792
"7","7","2020-02",0.0925927321069943
"7","8","2020-02",0.0636146482486896
"7","9","2020-02",0.0606223422572791
"7","10","2020-02",0.024807536515502
"8","1","2020-02",0.0422696015622347
"8","2","2020-02",0.0372478651716821
"8","3","2020-02",0.0479860282595144
"8","4","2020-02",0.0750327170665052
"8","5","2020-02",0.0772661893711393
"8","6","2020-02",0.077499281243424
"8","7","2020-02",0.08271163252205
"8","8","2020-02",0.107183028568568
"8","9","2020-02",0.0870408795527019
"8","10","2020-02",0.0353075628840816
"9","1","2020-02",0.0338671100813544
"9","2","2020-02",0.0252210051697483
"9","3","2020-02",0.0345620194684968
"9","4","2020-02",0.0481318127883468
"9","5","2020-02",0.0489419590138055
"9","6","2020-02",0.0509836776918923
"9","7","2020-02",0.0635711833660493
"9","8","2020-02",0.0809541183848902
"9","9","2020-02",0.112967790481842
"9","10","2020-02",0.0708303823196039
"10","1","2020-02",0.0247255197104982
"10","2","2020-02",0.0189276589535226
"10","3","2020-02",0.0227780410339533
"10","4","2020-02",0.026105665737044
"10","5","2020-02",0.0314294537828795
"10","6","2020-02",0.0271988045478773
"10","7","2020-02",0.0290569951186361
"10","8","2020-02",0.0394568243498163
"10","9","2020-02",0.0916780303140547
"10","10","2020-02",0.170743432373583
"1","1","2020-03",0.167754144236636
"1","2","2020-03",0.0882254291349787
"1","3","2020-03",0.0601834073992087
"1","4","2020-03",0.0419101160339293
"1","5","2020-03",0.0470021321949501
"1","6","2020-03",0.0384284430999867
"1","7","2020-03",0.0343001017321666
"1","8","2020-03",0.0248945904091158
"1","9","2020-03",0.0189780796870935
"1","10","2020-03",0.0137111810370784
"2","1","2020-03",0.0975572584552968
"2","2","2020-03",0.121313828642029
"2","3","2020-03",0.0832204494525783
"2","4","2020-03",0.0561047102732739
"2","5","2020-03",0.0628050763197543
"2","6","2020-03",0.047761048046915
"2","7","2020-03",0.0414084509625556
"2","8","2020-03",0.0241982972840424
"2","9","2020-03",0.0184657881710919
"2","10","2020-03",0.0119460037306533
"3","1","2020-03",0.0637429435447988
"3","2","2020-03",0.0814096328291977
"3","3","2020-03",0.0861445960320685
"3","4","2020-03",0.0718553550818479
"3","5","2020-03",0.0729283272578907
"3","6","2020-03",0.0506022494151177
"3","7","2020-03",0.0428650146069254
"3","8","2020-03",0.0304078811719532
"3","9","2020-03",0.0243914520309784
"3","10","2020-03",0.0150894318781392
"4","1","2020-03",0.0586733768342574
"4","2","2020-03",0.0629299376706408
"4","3","2020-03",0.0712131024364434
"4","4","2020-03",0.0813679191159888
"4","5","2020-03",0.0919859141154036
"4","6","2020-03",0.0681174408189809
"4","7","2020-03",0.0578238110315844
"4","8","2020-03",0.0421683343160794
"4","9","2020-03",0.0323951280873185
"4","10","2020-03",0.0189866178360541
"5","1","2020-03",0.0524654950928262
"5","2","2020-03",0.0549659717874604
"5","3","2020-03",0.0723732949312984
"5","4","2020-03",0.0940381597768284
"5","5","2020-03",0.0925792008447676
"5","6","2020-03",0.0733479001280501
"5","7","2020-03",0.064611859837301
"5","8","2020-03",0.0511002122904276
"5","9","2020-03",0.037784154221521
"5","10","2020-03",0.0223245367359876
"6","1","2020-03",0.0504046136468297
"6","2","2020-03",0.0473085969015674
"6","3","2020-03",0.054826184511123
"6","4","2020-03",0.0743384276523879
"6","5","2020-03",0.0854528286783839
"6","6","2020-03",0.0680081453400548
"6","7","2020-03",0.0731333780316599
"6","8","2020-03",0.0489515292046095
"6","9","2020-03",0.0399830749728293
"6","10","2020-03",0.0225135203467562
"7","1","2020-03",0.0425995771441645
"7","2","2020-03",0.0404225070081817
"7","3","2020-03",0.0446886877998587
"7","4","2020-03",0.0673411477672079
"7","5","2020-03",0.0700575792129007
"7","6","2020-03",0.0737037947754021
"7","7","2020-03",0.0713383671970301
"7","8","2020-03",0.0509072791469462
"7","9","2020-03",0.0480494535044653
"7","10","2020-03",0.0230985122529035
"8","1","2020-03",0.0406832289333711
"8","2","2020-03",0.0346123817766852
"8","3","2020-03",0.0400689464895384
"8","4","2020-03",0.0616432417587477
"8","5","2020-03",0.0661411943593674
"8","6","2020-03",0.0620957573785506
"8","7","2020-03",0.0663224177200832
"8","8","2020-03",0.0877087388319707
"8","9","2020-03",0.0709041486497738
"8","10","2020-03",0.0325294980944228
"9","1","2020-03",0.0322080258906781
"9","2","2020-03",0.0244003353696409
"9","3","2020-03",0.0310480461852556
"9","4","2020-03",0.0482802907455252
"9","5","2020-03",0.0457046179832611
"9","6","2020-03",0.0446815176776995
"9","7","2020-03",0.0533243640783255
"9","8","2020-03",0.0698185767593244
"9","9","2020-03",0.0946383125295202
"9","10","2020-03",0.0676905992360584
"10","1","2020-03",0.0249452753205807
"10","2","2020-03",0.0195349622048472
"10","3","2020-03",0.022177243879912
"10","4","2020-03",0.0302862228465422
"10","5","2020-03",0.0302449439656904
"10","6","2020-03",0.0241139199040589
"10","7","2020-03",0.0277189753051552
"10","8","2020-03",0.0362380158834891
"10","9","2020-03",0.0782018802530941
"10","10","2020-03",0.14715290014681
"1","1","2020-04",0.0666445941697231
"1","2","2020-04",0.037702628204947
"1","3","2020-04",0.0254319004188815
"1","4","2020-04",0.0180252404660587
"1","5","2020-04",0.0185500711076725
"1","6","2020-04",0.0174798178169566
