"month","index.decile","index.age","other.decile","other.age","contact.type","n.contact.pp"
"2020-05","1-2","60+","1-2","60+","Home",1.28899034348109
"2020-05","3-10","60+","1-2","60+","Home",0
"2020-05","1-2","16-59","3-10","60+","Home",0
"2020-05","3-10","16-59","3-10","60+","Home",0.70774518903714
"2020-05","1-2","60+","3-10","60+","Home",0
"2020-05","3-10","60+","3-10","60+","Home",1.39597092593175
"2020-05","1-2","16-59","1-2","16-59","Other",4.13065785968624
"2020-05","3-10","16-59","1-2","16-59","Other",0.878044851585797
"2020-05","1-2","60+","1-2","16-59","Other",2.12400533138312
"2020-05","3-10","60+","1-2","16-59","Other",0.451495139348917
"2020-05","1-2","16-59","3-10","16-59","Other",3.37330806589717
"2020-05","3-10","16-59","3-10","16-59","Other",6.75981328714074
"2020-05","1-2","60+","3-10","16-59","Other",1.71773119563208
"2020-05","3-10","60+","3-10","16-59","Other",3.44218254993015
"2020-05","1-2","16-59","1-2","60+","Other",0.680120183616026
"2020-05","3-10","16-59","1-2","60+","Other",0.144571650804553
"2020-05","1-2","60+","1-2","60+","Other",1.01439436405645
"2020-05","3-10","60+","1-2","60+","Other",0.215627577759507
"2020-05","1-2","16-59","3-10","60+","Other",0.697382977385662
"2020-05","3-10","16-59","3-10","60+","Other",1.39749427703206
"2020-05","1-2","60+","3-10","60+","Other",0.937859109194784
"2020-05","3-10","60+","3-10","60+","Other",1.87938733846852
"2020-06","1-2","16-59","1-2","16-59","Home",2.7905404581208
"2020-06","3-10","16-59","1-2","16-59","Home",0
"2020-06","1-2","60+","1-2","16-59","Home",1.85023504834696
"2020-06","3-10","60+","1-2","16-59","Home",0
"2020-06","1-2","16-59","3-10","16-59","Home",0
"2020-06","3-10","16-59","3-10","16-59","Home",2.67525244525991
"2020-06","1-2","60+","3-10","16-59","Home",0
"2020-06","3-10","60+","3-10","16-59","Home",1.7432544658963
"2020-06","1-2","16-59","1-2","60+","Home",0.592457176176249
"2020-06","3-10","16-59","1-2","60+","Home",0
"2020-06","1-2","60+","1-2","60+","Home",1.28899034348109
"2020-06","3-10","60+","1-2","60+","Home",0
"2020-06","1-2","16-59","3-10","60+","Home",0
"2020-06","3-10","16-59","3-10","60+","Home",0.70774518903714
"2020-06","1-2","60+","3-10","60+","Home",0
"2020-06","3-10","60+","3-10","60+","Home",1.39597092593175
"2020-06","1-2","16-59","1-2","16-59","Other",4.03122135968031
"2020-06","3-10","16-59","1-2","16-59","Other",0.963960808770603
"2020-06","1-2","60+","1-2","16-59","Other",2.07287457610854
"2020-06","3-10","60+","1-2","16-59","Other",0.495673562571138
"2020-06","1-2","16-59","3-10","16-59","Other",3.70338344967437
"2020-06","3-10","16-59","3-10","16-59","Other",7.08419546969955
"2020-06","1-2","60+","3-10","16-59","Other",1.88580976199733
"2020-06","3-10","60+","3-10","16-59","Other",3.60736206612127
"2020-06","1-2","16-59","1-2","60+","Other",0.663747786545285
"2020-06","3-10","16-59","1-2","60+","Other",0.158717866385941
"2020-06","1-2","60+","1-2","60+","Other",0.989975051536779
"2020-06","3-10","60+","1-2","60+","Other",0.236726556593209
"2020-06","1-2","16-59","3-10","60+","Other",0.765621320698384
"2020-06","3-10","16-59","3-10","60+","Other",1.46455563278865
"2020-06","1-2","60+","3-10","60+","Other",1.02962784165239
"2020-06","3-10","60+","3-10","60+","Other",1.96957322686954
"2020-07","1-2","16-59","1-2","16-59","Home",2.7905404581208
"2020-07","3-10","16-59","1-2","16-59","Home",0
"2020-07","1-2","60+","1-2","16-59","Home",1.85023504834696
"2020-07","3-10","60+","1-2","16-59","Home",0
"2020-07","1-2","16-59","3-10","16-59","Home",0
"2020-07","3-10","16-59","3-10","16-59","Home",2.67525244525991
"2020-07","1-2","60+","3-10","16-59","Home",0
"2020-07","3-10","60+","3-10","16-59","Home",1.7432544658963
"2020-07","1-2","16-59","1-2","60+","Home",0.592457176176249
"2020-07","3-10","16-59","1-2","60+","Home",0
"2020-07","1-2","60+","1-2","60+","Home",1.28899034348109
"2020-07","3-10","60+","1-2","60+","Home",0
"2020-07","1-2","16-59","3-10","60+","Home",0
"2020-07","3-10","16-59","3-10","60+","Home",0.70774518903714
"2020-07","1-2","60+","3-10","60+","Home",0
"2020-07","3-10","60+","3-10","60+","Home",1.39597092593175
"2020-07","1-2","16-59","1-2","16-59","Other",3.97606831437295
"2020-07","3-10","16-59","1-2","16-59","Other",1.10243961191936
"2020-07","1-2","60+","1-2","16-59","Other",2.04451459901672
"2020-07","3-10","60+","1-2","16-59","Other",0.566880069176809
"2020-07","1-2","16-59","3-10","16-59","Other",4.23539689155474
"2020-07","3-10","16-59","3-10","16-59","Other",7.78872799216354
"2020-07","1-2","60+","3-10","16-59","Other",2.1567177454253
"2020-07","3-10","60+","3-10","16-59","Other",3.96611895061942
"2020-07","1-2","16-59","1-2","60+","Other",0.654666739270099
"2020-07","3-10","16-59","1-2","60+","Other",0.181518648301007
"2020-07","1-2","60+","1-2","60+","Other",0.976430734815134
"2020-07","3-10","60+","1-2","60+","Other",0.270733758890533
"2020-07","1-2","16-59","3-10","60+","Other",0.875607456224682
"2020-07","3-10","16-59","3-10","60+","Other",1.61020760959685
"2020-07","1-2","60+","3-10","60+","Other",1.1775401114287
"2020-07","3-10","60+","3-10","60+","Other",2.16544986517506
"2020-08","1-2","16-59","1-2","16-59","Home",2.7905404581208
"2020-08","3-10","16-59","1-2","16-59","Home",0
"2020-08","1-2","60+","1-2","16-59","Home",1.85023504834696
"2020-08","3-10","60+","1-2","16-59","Home",0
"2020-08","1-2","16-59","3-10","16-59","Home",0
