"month","decile","decile.visited","rho.t","phi.0","Bc","B","Ba"
"2020-01","1","1",1.01446693942167,0.721925548468235,0.322695056303797,0.873148394550085,0.827036060119995
"2020-01","1","2",1.01446693942167,0.721925548468235,0.198756435068277,0.0463889853684647,0.0427372232490346
"2020-01","1","3",1.01446693942167,0.721925548468235,0.0952418011414949,0.0222290690517834,0.0204791865814356
"2020-01","1","4",1.01446693942167,0.721925548468235,0.0550200355439956,0.012841464091193,0.0118305781717498
"2020-01","1","5",1.01446693942167,0.721925548468235,0.0714443038198548,0.0166748249606152,0.0153621751223909
"2020-01","1","6",1.01446693942167,0.721925548468235,0.0691650497103645,0.0161428558422325,0.0148720828560192
"2020-01","1","7",1.01446693942167,0.721925548468235,0.0682560595301367,0.0159307010400185,0.0146766289767512
"2020-01","1","8",1.01446693942167,0.721925548468235,0.0553711393926178,0.0129234103753018,0.0119060736069391
"2020-01","1","9",1.01446693942167,0.721925548468235,0.0377255717547138,0.00880500294516353,0.0081118690910552
"2020-01","1","10",1.01446693942167,0.721925548468235,0.0263245477347476,0.00614404791109863,0.00566038565283837
"2020-01","2","1",1.01446693942167,0.721925548468235,0.181610075998876,0.0416528581523584,0.0388541333146639
"2020-01","2","2",1.01446693942167,0.721925548468235,0.21971803184702,0.841121358825933,0.771355482370088
"2020-01","2","3",1.01446693942167,0.721925548468235,0.129788529413597,0.0297674188820957,0.0277672964829402
"2020-01","2","4",1.01446693942167,0.721925548468235,0.0757931508404813,0.0173834042165062,0.0162153843661886
"2020-01","2","5",1.01446693942167,0.721925548468235,0.0958354509454735,0.0219801705508004,0.0205032863227777
"2020-01","2","6",1.01446693942167,0.721925548468235,0.0808485947505399,0.0185428866236617,0.0172969592213604
"2020-01","2","7",1.01446693942167,0.721925548468235,0.0850742829827552,0.0195120618831536,0.0182010139827367
"2020-01","2","8",1.01446693942167,0.721925548468235,0.0649853166976414,0.0149045925095571,0.0139031281418628
"2020-01","2","9",1.01446693942167,0.721925548468235,0.0417748534963396,0.00958119772511608,0.00893742110959406
"2020-01","2","10",1.01446693942167,0.721925548468235,0.0245717130272761,0.00563560183352339,0.00525693637030006
"2020-01","3","1",1.01446693942167,0.721925548468235,0.0997324216207015,0.0252760955840045,0.0235934219951256
"2020-01","3","2",1.01446693942167,0.721925548468235,0.157031680410457,0.0397979683965447,0.0371485485093102
"2020-01","3","3",1.01446693942167,0.721925548468235,0.135241251074846,0.799403004203456,0.769633716708242
"2020-01","3","4",1.01446693942167,0.721925548468235,0.13018512502247,0.032994001451184,0.0307975334623356
