"type","a","a.","contacts"
"home","00-04","45-49",0.0658736814518602
"home","05-09","45-49",0.12398683385394
"home","10-14","45-49",0.224737182568913
"home","15-19","45-49",0.432658008711308
"home","20-24","45-49",0.424248756835233
"home","25-29","45-49",0.0692636827264755
"home","30-34","45-49",0.0178365689293773
"home","35-39","45-49",0.036780838377222
"home","40-44","45-49",0.136314517395981
"home","45-49","45-49",0.845173944254531
"home","50-54","45-49",0.194675610520885
"home","55-59","45-49",0.125301544156018
"home","60-64","45-49",0.0397743233885357
"home","65-69","45-49",0.0667238276600531
"home","70-74","45-49",0.131690119031265
"home","75+?","45-49",0.209398678542379
"home","00-04","50-54",0.0541567868448438
"home","05-09","50-54",0.0404478297172635
"home","10-14","50-54",0.0664142970564441
"home","15-19","50-54",0.195403464447298
"home","20-24","50-54",0.257115940064717
"home","25-29","50-54",0.193781028566428
"home","30-34","50-54",0.0342562837653462
"home","35-39","50-54",0.0212038206713873
"home","40-44","50-54",0.0322352165112185
"home","45-49","50-54",0.145544374198937
"home","50-54","50-54",0.839858987017144
"home","55-59","50-54",0.238763791894999
"home","60-64","50-54",0.0896203245275822
"home","65-69","50-54",0.0595693708509306
"home","70-74","50-54",0.0736637370751643
"home","75+?","50-54",0.254929205263106
"home","00-04","55-59",0.0275754677469498
"home","05-09","55-59",0.0215694945280116
"home","10-14","55-59",0.0168707868246482
"home","15-19","55-59",0.0478368784755537
"home","20-24","55-59",0.111626365050525
"home","25-29","55-59",0.112455638950785
"home","30-34","55-59",0.0567150951836757
"home","35-39","55-59",0.0143789128132451
"home","40-44","55-59",0.00523998557687285
"home","45-49","55-59",0.029300699600805
"home","50-54","55-59",0.15632031243776
"home","55-59","55-59",0.90169074979265
"home","60-64","55-59",0.198588495251869
"home","65-69","55-59",0.0949798942593281
"home","70-74","55-59",0.0362982454645823
"home","75+?","55-59",0.0996382617969831
"home","00-04","60-64",0.0207117295857005
"home","05-09","60-64",0.0106941978783546
"home","10-14","60-64",0.0099842046846961
"home","15-19","60-64",0.0144156201944309
"home","20-24","60-64",0.0185162395252881
"home","25-29","60-64",0.0428521464405774
"home","30-34","60-64",0.0553059517696729
"home","35-39","60-64",0.0270064307580633
"home","40-44","60-64",0.0184828458959755
"home","45-49","60-64",0.0108964759508558
"home","50-54","60-64",0.0287825488544456
"home","55-59","60-64",0.15791000025947
"home","60-64","60-64",0.786800812047813
"home","65-69","60-64",0.151664110678996
"home","70-74","60-64",0.101130049482835
"home","75+?","60-64",0.0408886588524512
"home","00-04","65-69",0.00734743812274714
"home","05-09","65-69",0.00725269589536584
"home","10-14","65-69",0.00860950753969991
"home","15-19","65-69",0.0112969881991677
"home","20-24","65-69",0.00393837415726782
"home","25-29","65-69",0.00859286309874507
"home","30-34","65-69",0.00841236659829852
"home","35-39","65-69",0.0146757535647131
"home","40-44","65-69",0.0206050197008289
"home","45-49","65-69",0.00847869954142141
"home","50-54","65-69",0.0073820441062854
"home","55-59","65-69",0.039608933797975
"home","60-64","65-69",0.106853384024097
"home","65-69","65-69",0.755513671127858
"home","70-74","65-69",0.155396161751073
"home","75+?","65-69",0.0727962805454934
"home","00-04","70-74",0.00282486790653321
"home","05-09","70-74",0.00287260915476584
"home","10-14","70-74",0.00660249456278595
"home","15-19","70-74",0.0048100471683491
"home","20-24","70-74",0.00417850176590155
"home","25-29","70-74",0.00112667379679049
"home","30-34","70-74",0.00401740336266309
"home","35-39","70-74",0.00652172400280157
"home","40-44","70-74",0.00830286976522514
"home","45-49","70-74",0.00727726100593687
"home","50-54","70-74",0.0074512902250061
"home","55-59","70-74",0.00556810530669832
"home","60-64","70-74",0.0214768680329519
"home","65-69","70-74",0.100022894688027
"home","70-74","70-74",0.47353874154444
"home","75+?","70-74",0.097773849312427
"home","00-04","75+?",0.00544406708401336
"home","05-09","75+?",0.00331636476319216
"home","10-14","75+?",0.00350772990038592
"home","15-19","75+?",0.00268603887333718
"home","20-24","75+?",0.00336533193980823
"home","25-29","75+?",0.00578377887426347
"home","30-34","75+?",0.00343947142303434
"home","35-39","75+?",0.00228462243837628
"home","40-44","75+?",0.00525492455057979
"home","45-49","75+?",0.0131408700934906
"home","50-54","75+?",0.0223857761551732
"home","55-59","75+?",0.0191485352845904
"home","60-64","75+?",0.00509156875729581
"home","65-69","75+?",0.0120639130936993
"home","70-74","75+?",0.093856235805203
"home","75+?","75+?",0.343519594157915
"work","00-04","00-04",0
"work","05-09","00-04",0
"work","10-14","00-04",0
"work","15-19","00-04",0
"work","20-24","00-04",0
"work","25-29","00-04",0
"work","30-34","00-04",0
"work","35-39","00-04",0
"work","40-44","00-04",0
"work","45-49","00-04",0
"work","50-54","00-04",0
"work","55-59","00-04",0
"work","60-64","00-04",0
"work","65-69","00-04",7.60299521145735e-06
"work","70-74","00-04",5.78863840280149e-55
"work","75+?","00-04",2.3572127101662e-141
"work","00-04","05-09",0
"work","05-09","05-09",0
"work","10-14","05-09",0
"work","15-19","05-09",0
"work","20-24","05-09",0
"work","25-29","05-09",0
"work","30-34","05-09",0
"work","35-39","05-09",0
"work","40-44","05-09",0
"work","45-49","05-09",0
"work","50-54","05-09",0
"work","55-59","05-09",0
"work","60-64","05-09",0
"work","65-69","05-09",3.36326753855134e-06
"work","70-74","05-09",7.88785149416723e-42
"work","75+?","05-09",9.06871674094152e-97
"work","00-04","10-14",0
"work","05-09","10-14",0
