month,src,rho.t
2020-01,bluedot,1
2020-02,bluedot,1.00044919828265
2020-03,bluedot,0.742854998307105
2020-04,bluedot,0.514963513182423
2020-05,bluedot,0.640031374259587
2020-06,bluedot,0.759106970818655
2020-07,bluedot,0.818760160562916
2020-08,bluedot,0.859083239357677
2020-09,bluedot,0.876526175428214
2020-10,bluedot,0.836503191020338
2020-11,bluedot,0.837476646114491
2020-12,bluedot,0.700666245817031
2021-01,bluedot,0.676837681965496
2021-02,bluedot,0.738849680184315
2021-03,bluedot,0.79595923646836
2021-04,bluedot,0.742472868157016
2021-05,bluedot,0.781280726726946
2021-06,bluedot,0.836723722007791
2021-07,bluedot,0.888168834633028
2021-08,bluedot,0.899439688110002
2021-09,bluedot,0.927599900325412
2020-01,veraset,1.01446693942167
2020-02,veraset,0.985533060578334
2020-03,veraset,0.79468108634867
2020-04,veraset,0.523851673700608
2020-05,veraset,0.55325491689061
2020-06,veraset,0.636442617678268
2020-07,veraset,0.794896950671077
2020-08,veraset,0.931256609842642
2020-09,veraset,1.03582553482427
2020-10,veraset,0.909063068821065
2020-11,veraset,0.716202065963123
2020-12,veraset,0.670079003938256
