decile,t,cases
9,2021-01-30,34
9,2021-01-31,31
9,2021-02-01,76
9,2021-02-02,50
9,2021-02-03,59
9,2021-02-04,44
9,2021-02-05,49
9,2021-02-06,46
9,2021-02-07,27
9,2021-02-08,50
9,2021-02-09,41
9,2021-02-10,67
9,2021-02-11,37
9,2021-02-12,53
9,2021-02-13,31
9,2021-02-14,43
9,2021-02-15,40
9,2021-02-16,53
9,2021-02-17,54
9,2021-02-18,38
9,2021-02-19,43
9,2021-02-20,50
9,2021-02-21,49
9,2021-02-22,68
9,2021-02-23,54
9,2021-02-24,73
9,2021-02-25,65
9,2021-02-26,68
9,2021-02-27,61
9,2021-02-28,71
9,2021-03-01,80
9,2021-03-02,94
9,2021-03-03,73
9,2021-03-04,73
9,2021-03-05,73
9,2021-03-06,68
9,2021-03-07,72
9,2021-03-08,99
9,2021-03-09,73
9,2021-03-10,92
9,2021-03-11,82
9,2021-03-12,97
9,2021-03-13,72
9,2021-03-14,54
9,2021-03-15,118
9,2021-03-16,104
9,2021-03-17,104
9,2021-03-18,98
9,2021-03-19,92
9,2021-03-20,67
9,2021-03-21,80
9,2021-03-22,117
9,2021-03-23,100
9,2021-03-24,107
9,2021-03-25,104
9,2021-03-26,128
9,2021-03-27,89
9,2021-03-28,97
9,2021-03-29,137
9,2021-03-30,142
9,2021-03-31,160
9,2021-04-01,178
9,2021-04-02,167
9,2021-04-03,164
9,2021-04-04,168
9,2021-04-05,225
9,2021-04-06,240
9,2021-04-07,237
9,2021-04-08,211
9,2021-04-09,173
9,2021-04-10,179
9,2021-04-11,148
9,2021-04-12,216
9,2021-04-13,158
9,2021-04-14,180
9,2021-04-15,137
9,2021-04-16,134
9,2021-04-17,112
9,2021-04-18,113
9,2021-04-19,152
9,2021-04-20,122
9,2021-04-21,131
9,2021-04-22,124
9,2021-04-23,124
9,2021-04-24,93
9,2021-04-25,125
9,2021-04-26,128
9,2021-04-27,122
9,2021-04-28,114
9,2021-04-29,93
9,2021-04-30,104
10,2020-12-01,18
10,2020-12-02,35
10,2020-12-03,19
10,2020-12-04,18
10,2020-12-05,42
10,2020-12-06,29
10,2020-12-07,38
10,2020-12-08,43
10,2020-12-09,36
10,2020-12-10,25
10,2020-12-11,17
10,2020-12-12,18
10,2020-12-13,37
10,2020-12-14,27
10,2020-12-15,31
10,2020-12-16,40
10,2020-12-17,20
10,2020-12-18,42
10,2020-12-19,28
10,2020-12-20,20
10,2020-12-21,48
10,2020-12-22,22
10,2020-12-23,34
10,2020-12-24,23
10,2020-12-25,29
10,2020-12-26,39
10,2020-12-27,37
10,2020-12-28,52
10,2020-12-29,42
10,2020-12-30,37
10,2020-12-31,56
10,2021-01-01,48
10,2021-01-02,40
10,2021-01-03,48
10,2021-01-04,61
10,2021-01-05,47
10,2021-01-06,37
10,2021-01-07,45
10,2021-01-08,28
10,2021-01-09,33
10,2021-01-10,18
10,2021-01-11,47
10,2021-01-12,25
10,2021-01-13,34
10,2021-01-14,35
10,2021-01-15,28
10,2021-01-16,26
10,2021-01-17,49
10,2021-01-18,57
10,2021-01-19,76
10,2021-01-20,44
10,2021-01-21,47
10,2021-01-22,51
10,2021-01-23,27
10,2021-01-24,28
10,2021-01-25,68
10,2021-01-26,37
10,2021-01-27,64
10,2021-01-28,33
10,2021-01-29,21
10,2021-01-30,46
10,2021-01-31,21
10,2021-02-01,37
10,2021-02-02,41
10,2021-02-03,25
10,2021-02-04,27
10,2021-02-05,22
10,2021-02-06,26
10,2021-02-07,33
10,2021-02-08,35
10,2021-02-09,42
10,2021-02-10,39
10,2021-02-11,37
10,2021-02-12,53
10,2021-02-13,32
10,2021-02-14,24
10,2021-02-15,42
10,2021-02-16,60
10,2021-02-17,55
10,2021-02-18,49
10,2021-02-19,47
10,2021-02-20,31
10,2021-02-21,56
10,2021-02-22,43
10,2021-02-23,68
10,2021-02-24,72
10,2021-02-25,50
10,2021-02-26,63
10,2021-02-27,64
10,2021-02-28,76
10,2021-03-01,93
10,2021-03-02,77
10,2021-03-03,80
10,2021-03-04,64
10,2021-03-05,104
10,2021-03-06,61
10,2021-03-07,60
10,2021-03-08,69
10,2021-03-09,86
10,2021-03-10,92
10,2021-03-11,80
10,2021-03-12,58
10,2021-03-13,57
10,2021-03-14,66
10,2021-03-15,80
10,2021-03-16,69
10,2021-03-17,90
10,2021-03-18,77
10,2021-03-19,80
10,2021-03-20,54
10,2021-03-21,53
10,2021-03-22,80
10,2021-03-23,72
10,2021-03-24,79
10,2021-03-25,64
10,2021-03-26,65
10,2021-03-27,63
10,2021-03-28,69
10,2021-03-29,89
10,2021-03-30,78
10,2021-03-31,71
10,2021-04-01,69
10,2021-04-02,77
10,2021-04-03,80
10,2021-04-04,94
10,2021-04-05,104
10,2021-04-06,103
10,2021-04-07,109
10,2021-04-08,98
10,2021-04-09,101
10,2021-04-10,114
10,2021-04-11,86
10,2021-04-12,115
10,2021-04-13,99
10,2021-04-14,89
10,2021-04-15,73
10,2021-04-16,80
10,2021-04-17,79
10,2021-04-18,48
10,2021-04-19,71
10,2021-04-20,73
10,2021-04-21,60
10,2021-04-22,63
10,2021-04-23,70
10,2021-04-24,54
10,2021-04-25,54
10,2021-04-26,63
10,2021-04-27,63
10,2021-04-28,69
10,2021-04-29,63
10,2021-04-30,70
