decile,t,cases
2,2021-03-12,220
2,2021-03-13,241
2,2021-03-14,201
2,2021-03-15,308
2,2021-03-16,294
2,2021-03-17,311
2,2021-03-18,347
2,2021-03-19,318
2,2021-03-20,313
2,2021-03-21,350
2,2021-03-22,389
2,2021-03-23,414
2,2021-03-24,455
2,2021-03-25,408
2,2021-03-26,500
2,2021-03-27,472
2,2021-03-28,396
2,2021-03-29,533
2,2021-03-30,499
2,2021-03-31,532
2,2021-04-01,668
2,2021-04-02,606
2,2021-04-03,594
2,2021-04-04,582
2,2021-04-05,793
2,2021-04-06,824
2,2021-04-07,809
2,2021-04-08,748
2,2021-04-09,794
2,2021-04-10,753
2,2021-04-11,641
2,2021-04-12,713
2,2021-04-13,682
2,2021-04-14,722
2,2021-04-15,721
2,2021-04-16,662
2,2021-04-17,669
2,2021-04-18,604
2,2021-04-19,744
2,2021-04-20,699
2,2021-04-21,646
2,2021-04-22,608
2,2021-04-23,671
2,2021-04-24,529
2,2021-04-25,491
2,2021-04-26,629
2,2021-04-27,581
2,2021-04-28,598
2,2021-04-29,527
2,2021-04-30,561
3,2020-12-01,222
3,2020-12-02,206
3,2020-12-03,204
3,2020-12-04,208
3,2020-12-05,193
3,2020-12-06,210
3,2020-12-07,293
3,2020-12-08,260
3,2020-12-09,288
3,2020-12-10,256
3,2020-12-11,291
3,2020-12-12,274
3,2020-12-13,280
3,2020-12-14,358
3,2020-12-15,356
3,2020-12-16,279
3,2020-12-17,317
3,2020-12-18,345
3,2020-12-19,310
3,2020-12-20,265
3,2020-12-21,374
3,2020-12-22,300
3,2020-12-23,359
3,2020-12-24,358
3,2020-12-25,300
3,2020-12-26,418
3,2020-12-27,434
3,2020-12-28,453
3,2020-12-29,445
3,2020-12-30,400
3,2020-12-31,454
3,2021-01-01,359
3,2021-01-02,388
3,2021-01-03,398
3,2021-01-04,508
3,2021-01-05,398
3,2021-01-06,409
3,2021-01-07,334
3,2021-01-08,334
3,2021-01-09,336
3,2021-01-10,330
3,2021-01-11,365
3,2021-01-12,310
3,2021-01-13,321
3,2021-01-14,309
3,2021-01-15,301
3,2021-01-16,285
3,2021-01-17,240
3,2021-01-18,291
3,2021-01-19,239
3,2021-01-20,236
3,2021-01-21,224
3,2021-01-22,242
3,2021-01-23,201
3,2021-01-24,179
3,2021-01-25,209
3,2021-01-26,197
3,2021-01-27,190
3,2021-01-28,180
3,2021-01-29,181
3,2021-01-30,149
3,2021-01-31,162
3,2021-02-01,217
3,2021-02-02,145
3,2021-02-03,162
3,2021-02-04,164
3,2021-02-05,144
3,2021-02-06,144
3,2021-02-07,117
3,2021-02-08,145
3,2021-02-09,135
3,2021-02-10,152
3,2021-02-11,123
3,2021-02-12,133
3,2021-02-13,143
3,2021-02-14,101
3,2021-02-15,145
3,2021-02-16,119
3,2021-02-17,130
3,2021-02-18,136
3,2021-02-19,143
3,2021-02-20,113
3,2021-02-21,107
3,2021-02-22,129
3,2021-02-23,122
3,2021-02-24,107
3,2021-02-25,119
3,2021-02-26,107
3,2021-02-27,106
3,2021-02-28,107
3,2021-03-01,158
3,2021-03-02,129
3,2021-03-03,120
3,2021-03-04,139
3,2021-03-05,144
3,2021-03-06,141
3,2021-03-07,132
3,2021-03-08,157
3,2021-03-09,182
3,2021-03-10,201
3,2021-03-11,149
3,2021-03-12,174
3,2021-03-13,164
3,2021-03-14,166
3,2021-03-15,234
3,2021-03-16,215
3,2021-03-17,274
3,2021-03-18,192
3,2021-03-19,263
3,2021-03-20,222
3,2021-03-21,265
3,2021-03-22,281
3,2021-03-23,345
3,2021-03-24,335
3,2021-03-25,287
3,2021-03-26,317
3,2021-03-27,290
3,2021-03-28,325
3,2021-03-29,402
3,2021-03-30,415
3,2021-03-31,378
3,2021-04-01,507
3,2021-04-02,436
3,2021-04-03,383
3,2021-04-04,445
3,2021-04-05,590
3,2021-04-06,583
3,2021-04-07,554
3,2021-04-08,514
3,2021-04-09,560
3,2021-04-10,510
3,2021-04-11,469
3,2021-04-12,563
3,2021-04-13,505
3,2021-04-14,544
3,2021-04-15,504
3,2021-04-16,520
3,2021-04-17,481
3,2021-04-18,465
3,2021-04-19,538
3,2021-04-20,547
3,2021-04-21,529
3,2021-04-22,455
3,2021-04-23,442
3,2021-04-24,422
3,2021-04-25,377
3,2021-04-26,455
3,2021-04-27,457
3,2021-04-28,476
3,2021-04-29,426
3,2021-04-30,426
4,2020-12-01,174
4,2020-12-02,170
4,2020-12-03,202
4,2020-12-04,203
4,2020-12-05,159
4,2020-12-06,154
4,2020-12-07,212
4,2020-12-08,224
4,2020-12-09,244
4,2020-12-10,198
4,2020-12-11,245
4,2020-12-12,175
4,2020-12-13,174
4,2020-12-14,261
4,2020-12-15,204
4,2020-12-16,243
4,2020-12-17,237
4,2020-12-18,215
4,2020-12-19,188
4,2020-12-20,276
4,2020-12-21,305
4,2020-12-22,243
4,2020-12-23,269
4,2020-12-24,248
4,2020-12-25,251
4,2020-12-26,309
4,2020-12-27,299
4,2020-12-28,322
4,2020-12-29,324
4,2020-12-30,333
4,2020-12-31,328
4,2021-01-01,307
4,2021-01-02,357
4,2021-01-03,339
4,2021-01-04,399
4,2021-01-05,387
4,2021-01-06,379
4,2021-01-07,298
4,2021-01-08,268
4,2021-01-09,249
4,2021-01-10,236
4,2021-01-11,279
4,2021-01-12,250
4,2021-01-13,245
4,2021-01-14,229
4,2021-01-15,255
4,2021-01-16,179
4,2021-01-17,207
4,2021-01-18,255
4,2021-01-19,223
4,2021-01-20,227
4,2021-01-21,188
4,2021-01-22,187
4,2021-01-23,186
4,2021-01-24,130
4,2021-01-25,164
4,2021-01-26,194
4,2021-01-27,165
4,2021-01-28,133
4,2021-01-29,139
4,2021-01-30,115
4,2021-01-31,106
4,2021-02-01,197
4,2021-02-02,144
4,2021-02-03,158
4,2021-02-04,164
4,2021-02-05,123
4,2021-02-06,84
4,2021-02-07,99
4,2021-02-08,114
4,2021-02-09,108
4,2021-02-10,121
4,2021-02-11,98
4,2021-02-12,100
4,2021-02-13,103
4,2021-02-14,113
4,2021-02-15,120
4,2021-02-16,119
4,2021-02-17,139
4,2021-02-18,157
4,2021-02-19,124
4,2021-02-20,110
4,2021-02-21,94
4,2021-02-22,156
4,2021-02-23,128
4,2021-02-24,133
4,2021-02-25,105
4,2021-02-26,117
4,2021-02-27,96
4,2021-02-28,99
4,2021-03-01,162
4,2021-03-02,133
4,2021-03-03,128
4,2021-03-04,131
4,2021-03-05,132
4,2021-03-06,125
4,2021-03-07,120
4,2021-03-08,129
4,2021-03-09,140
4,2021-03-10,178
4,2021-03-11,151
4,2021-03-12,179
4,2021-03-13,159
4,2021-03-14,145
4,2021-03-15,191
4,2021-03-16,189
4,2021-03-17,192
4,2021-03-18,174
4,2021-03-19,228
4,2021-03-20,220
4,2021-03-21,213
4,2021-03-22,241
4,2021-03-23,269
4,2021-03-24,287
4,2021-03-25,266
4,2021-03-26,275
4,2021-03-27,249
4,2021-03-28,248
4,2021-03-29,340
4,2021-03-30,331
4,2021-03-31,338
4,2021-04-01,410
4,2021-04-02,373
4,2021-04-03,349
4,2021-04-04,353
4,2021-04-05,489
4,2021-04-06,551
4,2021-04-07,497
4,2021-04-08,534
4,2021-04-09,468
4,2021-04-10,488
4,2021-04-11,380
4,2021-04-12,470
4,2021-04-13,466
4,2021-04-14,432
4,2021-04-15,442
4,2021-04-16,439
4,2021-04-17,398
4,2021-04-18,348
4,2021-04-19,430
4,2021-04-20,393
4,2021-04-21,373
4,2021-04-22,348
4,2021-04-23,414
4,2021-04-24,351
4,2021-04-25,321
4,2021-04-26,409
4,2021-04-27,362
4,2021-04-28,371
4,2021-04-29,320
4,2021-04-30,333
5,2020-12-01,159
5,2020-12-02,141
5,2020-12-03,186
5,2020-12-04,160
5,2020-12-05,123
5,2020-12-06,140
5,2020-12-07,163
5,2020-12-08,209
5,2020-12-09,221
5,2020-12-10,178
5,2020-12-11,190
5,2020-12-12,173
5,2020-12-13,169
5,2020-12-14,270
5,2020-12-15,222
5,2020-12-16,208
5,2020-12-17,203
5,2020-12-18,224
5,2020-12-19,191
5,2020-12-20,216
5,2020-12-21,278
5,2020-12-22,264
5,2020-12-23,301
5,2020-12-24,301
5,2020-12-25,240
5,2020-12-26,291
5,2020-12-27,338
5,2020-12-28,404
5,2020-12-29,336
5,2020-12-30,323
5,2020-12-31,292
5,2021-01-01,307
5,2021-01-02,351
5,2021-01-03,330
5,2021-01-04,362
5,2021-01-05,308
5,2021-01-06,334
5,2021-01-07,324
5,2021-01-08,274
5,2021-01-09,240
5,2021-01-10,248
5,2021-01-11,312
5,2021-01-12,252
5,2021-01-13,265
5,2021-01-14,275
5,2021-01-15,218
5,2021-01-16,200
5,2021-01-17,207
5,2021-01-18,209
5,2021-01-19,210
5,2021-01-20,177
5,2021-01-21,170
5,2021-01-22,158
5,2021-01-23,144
5,2021-01-24,163
5,2021-01-25,168
5,2021-01-26,133
5,2021-01-27,135
5,2021-01-28,124
5,2021-01-29,96
5,2021-01-30,86
5,2021-01-31,89
5,2021-02-01,114
5,2021-02-02,118
5,2021-02-03,98
5,2021-02-04,86
5,2021-02-05,123
5,2021-02-06,86
5,2021-02-07,69
5,2021-02-08,116
5,2021-02-09,96
5,2021-02-10,93
5,2021-02-11,83
5,2021-02-12,95
5,2021-02-13,82
5,2021-02-14,66
5,2021-02-15,83
5,2021-02-16,76
5,2021-02-17,75
5,2021-02-18,99
5,2021-02-19,75
5,2021-02-20,84
5,2021-02-21,80
5,2021-02-22,86
5,2021-02-23,118
5,2021-02-24,101
5,2021-02-25,101
5,2021-02-26,107
5,2021-02-27,86
5,2021-02-28,91
5,2021-03-01,129
5,2021-03-02,88
5,2021-03-03,118
5,2021-03-04,90
5,2021-03-05,110
5,2021-03-06,87
5,2021-03-07,83
5,2021-03-08,114
5,2021-03-09,125
