"decile","decile.visited","month","visit.prop"
"5","9","2020-02",0.0428060359160785
"5","10","2020-02",0.0241614151958358
"6","1","2020-02",0.0447196694226764
"6","2","2020-02",0.0457894767275852
"6","3","2020-02",0.05756748899
"6","4","2020-02",0.0764098410964985
"6","5","2020-02",0.090238097662215
"6","6","2020-02",0.0736232328287095
"6","7","2020-02",0.0817773460867883
"6","8","2020-02",0.0541866692193623
"6","9","2020-02",0.0441459862271169
"6","10","2020-02",0.0228136645578428
"7","1","2020-02",0.0412072287087544
"7","2","2020-02",0.0382740393468063
"7","3","2020-02",0.0443286653259398
"7","4","2020-02",0.0736715739708445
"7","5","2020-02",0.0869610118992702
"7","6","2020-02",0.0915726197237543
"7","7","2020-02",0.084871511616498
"7","8","2020-02",0.0564125731538109
"7","9","2020-02",0.0557527764318907
"7","10","2020-02",0.0231053387815486
"8","1","2020-02",0.0335709257123004
"8","2","2020-02",0.0293765586413884
"8","3","2020-02",0.0374655757713759
"8","4","2020-02",0.0603691066316544
"8","5","2020-02",0.0624601440734143
"8","6","2020-02",0.0641530533720631
"8","7","2020-02",0.0688397427417164
"8","8","2020-02",0.0980657012995804
"8","9","2020-02",0.0818192612528393
"8","10","2020-02",0.0329991098161734
"9","1","2020-02",0.0245045207146474
"9","2","2020-02",0.0182292066602429
"9","3","2020-02",0.0254588548734426
"9","4","2020-02",0.0402901639187965
"9","5","2020-02",0.0408200567656094
"9","6","2020-02",0.0413932814198371
"9","7","2020-02",0.0536495332116225
"9","8","2020-02",0.0667363852565868
"9","9","2020-02",0.0913488950840087
"9","10","2020-02",0.0619298303907025
"10","1","2020-02",0.017385823064995
"10","2","2020-02",0.0130137963091324
"10","3","2020-02",0.0159323073572095
"10","4","2020-02",0.0185217204725148
"10","5","2020-02",0.0220290550931426
"10","6","2020-02",0.0186322286611433
"10","7","2020-02",0.0206853177769211
"10","8","2020-02",0.0291902687504112
"10","9","2020-02",0.0789028939434323
"10","10","2020-02",0.143415359603409
"1","1","2020-03",0.190311385005447
"1","2","2020-03",0.0908548621812079
"1","3","2020-03",0.0611978826041126
"1","4","2020-03",0.0424838827925011
"1","5","2020-03",0.0469992138079314
"1","6","2020-03",0.0391645772256139
"1","7","2020-03",0.0349331296716699
"1","8","2020-03",0.0266252328138259
"1","9","2020-03",0.0207052206095215
"1","10","2020-03",0.0158366894409384
"2","1","2020-03",0.096272005308103
